CpG,gene,region,feature
cg21311175,HIRA,body,HIRA__body
cg21311644,UXS1,promoter,UXS1__promoter
cg21311996,BRD2,body,BRD2__body
cg21312144,MEMO1,body,MEMO1__body
cg21312148,LCE2D,promoter,LCE2D__promoter
cg21312412,VSNL1,promoter,VSNL1__promoter
cg21312482,RFC3,body,RFC3__body
cg21312695,ALK,body,ALK__body
cg21313071,KCNG1,promoter,KCNG1__promoter
cg21313137,SNX21,promoter,SNX21__promoter
cg21313298,MAML3,promoter,MAML3__promoter
cg21313962,FAM160B2,body,FAM160B2__body
cg21314106,FN1,body,FN1__body
cg21314302,ENOX1,promoter,ENOX1__promoter
cg21314318,ADAMTS17,body,ADAMTS17__body
cg21314480,TACR1,promoter,TACR1__promoter
cg21315000,PIAS2,body,PIAS2__body
cg21315018,CEBPD,promoter,CEBPD__promoter
cg21315021,LOC400027,promoter,LOC400027__promoter
cg21315173,FIGN,body,FIGN__body
cg21315421,PER2,body,PER2__body
cg21315530,GPBP1,promoter,GPBP1__promoter
cg21315629,RALB,promoter,RALB__promoter
cg21315798,PIM3,promoter,PIM3__promoter
cg21315873,WDR69,body,WDR69__body
cg21315992,LRRK1,body,LRRK1__body
cg21316379,HIST1H2BD,promoter,HIST1H2BD__promoter
cg21316772,B4GALT1,promoter,B4GALT1__promoter
cg21317088,MEX3C,promoter,MEX3C__promoter
cg21317279,ZNRD1,body,ZNRD1__body
cg21317795,HEBP2,promoter,HEBP2__promoter
cg21317856,SCAMP4,body,SCAMP4__body
cg21317965,TFAP2B,body,TFAP2B__body
cg21318213,NR2F2,promoter,NR2F2__promoter
cg21318835,EHMT2,body,EHMT2__body
cg21318978,VPS52,promoter,VPS52__promoter
cg21319053,GDNF,promoter,GDNF__promoter
cg21319310,APOB,body,APOB__body
cg21319458,BAZ2B,promoter,BAZ2B__promoter
cg21319693,PRDX1,promoter,PRDX1__promoter
cg21319745,UTP11L,promoter,UTP11L__promoter
cg21320123,DPP6,body,DPP6__body
cg21320221,DYSFIP1,promoter,DYSFIP1__promoter
cg21320334,RIT2,promoter,RIT2__promoter
cg21320455,GAA,body,GAA__body
cg21320567,CSPP1,promoter,CSPP1__promoter
cg21320573,UNC5D,body,UNC5D__body
cg21320793,PDE6B,promoter,PDE6B__promoter
cg21321039,LRPAP1,body,LRPAP1__body
cg21321162,KHDC1,promoter,KHDC1__promoter
cg21321248,KCNH2,promoter,KCNH2__promoter
cg21321372,SCOC,promoter,SCOC__promoter
cg21321768,ESCO1,promoter,ESCO1__promoter
cg21321815,OVOL2,promoter,OVOL2__promoter
cg21321885,NDE1,promoter,NDE1__promoter
cg21322149,SENP7,promoter,SENP7__promoter
cg21322241,MBP,promoter,MBP__promoter
cg21322248,PSTPIP1,body,PSTPIP1__body
cg21322436,CNTNAP2,promoter,CNTNAP2__promoter
cg21322819,LOC283731,promoter,LOC283731__promoter
cg21322848,SEMA6D,body,SEMA6D__body
cg21322855,PSMB8,promoter,PSMB8__promoter
cg21323028,UBR3,body,UBR3__body
cg21323106,PTPRN2,body,PTPRN2__body
cg21323244,SHANK2,body,SHANK2__body
cg21323441,OCA2,promoter,OCA2__promoter
cg21323494,CAMKK1,body,CAMKK1__body
cg21324456,ATP9A,body,ATP9A__body
cg21324884,MIR548A2,body,MIR548A2__body
cg21324936,PKNOX2,promoter,PKNOX2__promoter
cg21325232,ABHD12,promoter,ABHD12__promoter
cg21325485,PTPRN2,body,PTPRN2__body
cg21325631,HSPA1L,body,HSPA1L__body
cg21325723,C6orf10,body,C6orf10__body
cg21325732,CENPV,promoter,CENPV__promoter
cg21325760,MAGEL2,promoter,MAGEL2__promoter
cg21326006,WIPF2,promoter,WIPF2__promoter
cg21326011,KIAA0895,body,KIAA0895__body
cg21326139,MAEA,body,MAEA__body
cg21326251,THEMIS,promoter,THEMIS__promoter
cg21326301,CCDC39,promoter,CCDC39__promoter
cg21326613,C7orf10,body,C7orf10__body
cg21326642,ZNF777,body,ZNF777__body
cg21326881,HP1BP3,promoter,HP1BP3__promoter
cg21327194,GPRC5C,body,GPRC5C__body
cg21327235,DNAH2,body,DNAH2__body
cg21327609,LRRC23,promoter,LRRC23__promoter
cg21327694,CCK,body,CCK__body
cg21327826,NDOR1,body,NDOR1__body
cg21328082,TREM1,promoter,TREM1__promoter
cg21328770,YEATS2,promoter,YEATS2__promoter
cg21328779,PHLDB2,body,PHLDB2__body
cg21328810,KCNC3,body,KCNC3__body
cg21329599,SORCS2,promoter,SORCS2__promoter
cg21329975,CC2D2A,promoter,CC2D2A__promoter
cg21330071,GP9,promoter,GP9__promoter
cg21330198,KIAA0100,body,KIAA0100__body
cg21330207,ZADH2,body,ZADH2__body
cg21330323,GNASAS,promoter,GNASAS__promoter
cg21330419,WNT3,body,WNT3__body
cg21330727,RAPGEFL1,promoter,RAPGEFL1__promoter
cg21330802,SDK1,body,SDK1__body
cg21330831,ZBTB22,promoter,ZBTB22__promoter
cg21330960,RTDR1,promoter,RTDR1__promoter
cg21330976,ANKRD29,body,ANKRD29__body
cg21331088,ADCYAP1,body,ADCYAP1__body
cg21331324,CTSZ,promoter,CTSZ__promoter
cg21331335,KCNV2,promoter,KCNV2__promoter
cg21331417,NXN,body,NXN__body
cg21331461,KCNJ8,promoter,KCNJ8__promoter
cg21331473,ALDH1L2,promoter,ALDH1L2__promoter
cg21331510,C22orf9,promoter,C22orf9__promoter
cg21331791,MCF2L,body,MCF2L__body
cg21331947,CPNE5,body,CPNE5__body
cg21332304,NPEPPS,body,NPEPPS__body
cg21332334,FEZF1,promoter,FEZF1__promoter
cg21332495,ARL4D,promoter,ARL4D__promoter
cg21332915,ZWILCH,promoter,ZWILCH__promoter
cg21332946,LIX1L,promoter,LIX1L__promoter
cg21333033,C2orf54,body,C2orf54__body
cg21333208,DOK7,body,DOK7__body
cg21333217,PLXND1,body,PLXND1__body
cg21333338,RAP1GAP2,body,RAP1GAP2__body
cg21333665,UNC13D,promoter,UNC13D__promoter
cg21333861,B3GALT4,promoter,B3GALT4__promoter
cg21334075,UBE2Q2,promoter,UBE2Q2__promoter
cg21334191,HPS3,body,HPS3__body
cg21334449,KRAS,promoter,KRAS__promoter
cg21334510,SLC12A7,body,SLC12A7__body
cg21335556,MFSD6L,promoter,MFSD6L__promoter
cg21335714,TRIM26,body,TRIM26__body
cg21336049,C3orf52,promoter,C3orf52__promoter
cg21336116,KRT23,promoter,KRT23__promoter
cg21336127,MINK1,body,MINK1__body
cg21336235,CXCL3,promoter,CXCL3__promoter
cg21336288,EIF3H,body,EIF3H__body
cg21336300,LRMP,promoter,LRMP__promoter
cg21336373,P2RX1,body,P2RX1__body
cg21336434,HPVC1,promoter,HPVC1__promoter
cg21336456,CHST10,body,CHST10__body
cg21336547,AKAP8,promoter,AKAP8__promoter
cg21336650,CARD14,promoter,CARD14__promoter
cg21336876,UHRF1BP1L,promoter,UHRF1BP1L__promoter
cg21337124,ZNF20,promoter,ZNF20__promoter
cg21337296,RAD21L1,promoter,RAD21L1__promoter
cg21337430,OSGEP,promoter,OSGEP__promoter
cg21337826,LIMCH1,body,LIMCH1__body
cg21337881,C17orf87,promoter,C17orf87__promoter
cg21337909,TNXB,body,TNXB__body
cg21337984,TXNDC17,promoter,TXNDC17__promoter
cg21338112,WNT5B,body,WNT5B__body
cg21338225,C7orf41,body,C7orf41__body
cg21338335,CGGBP1,promoter,CGGBP1__promoter
cg21338479,CUX1,promoter,CUX1__promoter
cg21338523,ARHGAP15,body,ARHGAP15__body
cg21338532,RPRM,promoter,RPRM__promoter
cg21338677,SLCO3A1,body,SLCO3A1__body
cg21338852,MCFD2,promoter,MCFD2__promoter
cg21338961,SNRNP35,body,SNRNP35__body
cg21339084,LIMS2,promoter,LIMS2__promoter
cg21339170,TBL1XR1,body,TBL1XR1__body
cg21339533,NUPL2,promoter,NUPL2__promoter
cg21339581,FGFR3,body,FGFR3__body
cg21339676,CSRNP2,promoter,CSRNP2__promoter
cg21339799,ARHGAP15,body,ARHGAP15__body
cg21339822,MYBPC1,promoter,MYBPC1__promoter
cg21339926,CLMN,promoter,CLMN__promoter
cg21339969,C1orf95,body,C1orf95__body
cg21340129,BAZ1B,promoter,BAZ1B__promoter
cg21340143,CHD7,body,CHD7__body
cg21340621,KDM2B,promoter,KDM2B__promoter
cg21340733,KRT8,promoter,KRT8__promoter
cg21340944,RDH14,promoter,RDH14__promoter
cg21341150,TNIK,promoter,TNIK__promoter
cg21341271,C7orf36,promoter,C7orf36__promoter
cg21341435,PTPRN2,body,PTPRN2__body
cg21341487,GTPBP5,promoter,GTPBP5__promoter
cg21341586,EIF4E,promoter,EIF4E__promoter
cg21341592,TNFRSF1A,body,TNFRSF1A__body
cg21341645,INSIG1,body,INSIG1__body
cg21341821,DIP2C,body,DIP2C__body
cg21341928,PABPC3,promoter,PABPC3__promoter
cg21342392,IMMP2L,promoter,IMMP2L__promoter
cg21342437,SELV,promoter,SELV__promoter
cg21342586,KRTAP2-1,promoter,KRTAP2-1__promoter
cg21342636,TNXB,body,TNXB__body
cg21342728,MCHR1,promoter,MCHR1__promoter
cg21342785,ANK1,body,ANK1__body
cg21343189,LDB3,promoter,LDB3__promoter
cg21343406,RPTOR,body,RPTOR__body
cg21343895,ACSM4,promoter,ACSM4__promoter
cg21343919,SULF2,promoter,SULF2__promoter
cg21344124,RHOBTB2,promoter,RHOBTB2__promoter
cg21344159,GPR133,body,GPR133__body
cg21344215,GPN1,promoter,GPN1__promoter
cg21345145,PHF1,body,PHF1__body
cg21345510,SMAD3,promoter,SMAD3__promoter
cg21345826,APOBEC3A,promoter,APOBEC3A__promoter
cg21345949,C10orf125,promoter,C10orf125__promoter
cg21346154,TGFA,body,TGFA__body
cg21346639,TGIF1,promoter,TGIF1__promoter
cg21346679,ABCB11,promoter,ABCB11__promoter
cg21346818,ATP5G1,promoter,ATP5G1__promoter
cg21347377,HELLS,promoter,HELLS__promoter
cg21347380,AEN,body,AEN__body
cg21347412,STAP2,promoter,STAP2__promoter
cg21347733,SPEG,body,SPEG__body
cg21348173,PYY,promoter,PYY__promoter
cg21348233,GPS1,body,GPS1__body
cg21348497,IGFBP2,body,IGFBP2__body
cg21348565,SLC22A25,promoter,SLC22A25__promoter
cg21348691,DUS2L,promoter,DUS2L__promoter
cg21348709,CAMKK2,body,CAMKK2__body
cg21348752,C10orf114,body,C10orf114__body
cg21348997,ARNT2,promoter,ARNT2__promoter
cg21349637,C18orf1,promoter,C18orf1__promoter
cg21349723,C4orf48,promoter,C4orf48__promoter
cg21350007,ZNF828,promoter,ZNF828__promoter
cg21350100,CASC4,promoter,CASC4__promoter
cg21350115,CALCRL,promoter,CALCRL__promoter
cg21350153,KCNIP3,body,KCNIP3__body
cg21350283,ACTN1,promoter,ACTN1__promoter
cg21350498,DAXX,body,DAXX__body
cg21350575,CHODL,promoter,CHODL__promoter
cg21351151,SRA1,promoter,SRA1__promoter
cg21351241,FAM71F1,promoter,FAM71F1__promoter
cg21351392,AGPAT4,body,AGPAT4__body
cg21351483,TRAPPC9,body,TRAPPC9__body
cg21351768,ZBTB9,promoter,ZBTB9__promoter
cg21351834,HNMT,body,HNMT__body
cg21351852,GPR84,promoter,GPR84__promoter
cg21351994,EMX1,promoter,EMX1__promoter
cg21352006,SOX5,promoter,SOX5__promoter
cg21352837,CYS1,body,CYS1__body
cg21352959,TEX2,promoter,TEX2__promoter
cg21353144,SPRY1,body,SPRY1__body
cg21353232,SEZ6L,promoter,SEZ6L__promoter
cg21353292,MYCN,promoter,MYCN__promoter
cg21353724,SNX8,body,SNX8__body
cg21354581,PRTFDC1,body,PRTFDC1__body
cg21354621,SFRS2IP,promoter,SFRS2IP__promoter
cg21354789,TRIM39,body,TRIM39__body
cg21355100,ZNF555,promoter,ZNF555__promoter
cg21355793,COBL,body,COBL__body
cg21356040,MOG,body,MOG__body
cg21356104,STX7,promoter,STX7__promoter
cg21356239,SMAGP,promoter,SMAGP__promoter
cg21356293,ADCY3,body,ADCY3__body
cg21356535,NHEG1,body,NHEG1__body
cg21356536,MOCS1,promoter,MOCS1__promoter
cg21356630,TTLL2,body,TTLL2__body
cg21356710,MFSD2B,body,MFSD2B__body
cg21356750,EHMT2,body,EHMT2__body
cg21356837,OXGR1,promoter,OXGR1__promoter
cg21356851,TMCO3,body,TMCO3__body
cg21356962,LOC728323,body,LOC728323__body
cg21357024,EFR3B,promoter,EFR3B__promoter
cg21357108,PMP22,promoter,PMP22__promoter
cg21358343,RGL2,body,RGL2__body
cg21358380,LOC100133985,promoter,LOC100133985__promoter
cg21358381,PPY,promoter,PPY__promoter
cg21358438,RUNX1,body,RUNX1__body
cg21358678,RNF5,body,RNF5__body
cg21359558,TAP2,body,TAP2__body
cg21359747,ALDH1A3,body,ALDH1A3__body
cg21359793,KRT4,promoter,KRT4__promoter
cg21359950,CRADD,body,CRADD__body
cg21360245,TRA2B,body,TRA2B__body
cg21360685,BBS10,promoter,BBS10__promoter
cg21360828,CENPA,promoter,CENPA__promoter
cg21360975,ASB1,promoter,ASB1__promoter
cg21361087,TLL2,body,TLL2__body
cg21361470,MRAP2,promoter,MRAP2__promoter
cg21361856,CHN1,promoter,CHN1__promoter
cg21362455,ALDH5A1,promoter,ALDH5A1__promoter
cg21363050,PDGFRA,body,PDGFRA__body
cg21363348,TMEM140,promoter,TMEM140__promoter
cg21363377,SND1,body,SND1__body
cg21363465,OSBPL8,promoter,OSBPL8__promoter
cg21363706,NAT1,promoter,NAT1__promoter
cg21363811,FAM163A,promoter,FAM163A__promoter
cg21363943,SF3B4,promoter,SF3B4__promoter
cg21364020,TNRC18,body,TNRC18__body
cg21364111,EDNRB,promoter,EDNRB__promoter
cg21364150,DUSP19,promoter,DUSP19__promoter
cg21364231,LOC100128822,promoter,LOC100128822__promoter
cg21364559,ZNF3,promoter,ZNF3__promoter
cg21364560,MYOF,promoter,MYOF__promoter
cg21364607,FARS2,body,FARS2__body
cg21364723,PIM3,promoter,PIM3__promoter
cg21364818,IL1R2,body,IL1R2__body
cg21364828,RASA3,body,RASA3__body
cg21365094,GLRA3,promoter,GLRA3__promoter
cg21365364,DTD1,promoter,DTD1__promoter
cg21365564,BLOC1S2,promoter,BLOC1S2__promoter
cg21365899,EGLN1,promoter,EGLN1__promoter
cg21365914,CBX4,promoter,CBX4__promoter
cg21366200,DAZL,body,DAZL__body
cg21366535,RSPH3,promoter,RSPH3__promoter
cg21366602,EPS15,promoter,EPS15__promoter
cg21366673,HLA-E,body,HLA-E__body
cg21366688,SGK1,body,SGK1__body
cg21366834,CCR4,promoter,CCR4__promoter
cg21367040,TMEM50A,promoter,TMEM50A__promoter
cg21367187,JPH2,body,JPH2__body
cg21367256,MYT1,promoter,MYT1__promoter
cg21367769,SCGN,promoter,SCGN__promoter
cg21367783,FOXK1,body,FOXK1__body
cg21367838,STAU1,promoter,STAU1__promoter
cg21367866,FAT1,body,FAT1__body
cg21367923,RNF181,promoter,RNF181__promoter
cg21367957,F10,promoter,F10__promoter
cg21367972,CAV1,body,CAV1__body
cg21368063,CGREF1,promoter,CGREF1__promoter
cg21368143,C12orf77,promoter,C12orf77__promoter
cg21368161,TMEM184A,promoter,TMEM184A__promoter
cg21368354,CARKD,promoter,CARKD__promoter
cg21368467,CACNA2D2,body,CACNA2D2__body
cg21368481,VARS,body,VARS__body
cg21368566,AGAP1,body,AGAP1__body
cg21368609,NECAB1,promoter,NECAB1__promoter
cg21368729,RRP9,body,RRP9__body
cg21369231,SLC7A14,promoter,SLC7A14__promoter
cg21369466,LANCL2,body,LANCL2__body
cg21369679,DNAJA2,promoter,DNAJA2__promoter
cg21369801,CSNK1D,body,CSNK1D__body
cg21369870,FLCN,promoter,FLCN__promoter
cg21369919,NEBL,body,NEBL__body
cg21369988,CAPRIN2,promoter,CAPRIN2__promoter
cg21370143,MYBPC3,promoter,MYBPC3__promoter
cg21370255,LRRC27,promoter,LRRC27__promoter
cg21370481,TPK1,promoter,TPK1__promoter
cg21370522,TNF,promoter,TNF__promoter
cg21370778,KIAA0528,promoter,KIAA0528__promoter
cg21370869,GJB7,promoter,GJB7__promoter
cg21370924,ZBTB38,promoter,ZBTB38__promoter
cg21371235,FAT1,body,FAT1__body
cg21371335,DNAJC7,promoter,DNAJC7__promoter
cg21372174,SLC4A8,body,SLC4A8__body
cg21372200,RASSF1,promoter,RASSF1__promoter
cg21372286,NUP50,promoter,NUP50__promoter
cg21372914,CLEC4M,promoter,CLEC4M__promoter
cg21373064,LUC7L2,promoter,LUC7L2__promoter
cg21373192,CACNA1G,body,CACNA1G__body
cg21373739,SACM1L,promoter,SACM1L__promoter
cg21373806,BAHCC1,body,BAHCC1__body
cg21373996,DIP2C,body,DIP2C__body
cg21374208,DNAJC1,promoter,DNAJC1__promoter
cg21374672,ATXN1,body,ATXN1__body
cg21374754,LYZL4,promoter,LYZL4__promoter
cg21374793,ALS2,promoter,ALS2__promoter
cg21375204,CLIP2,body,CLIP2__body
cg21375294,BRUNOL4,body,BRUNOL4__body
cg21375490,PTPRN2,body,PTPRN2__body
cg21375506,PRKCA,body,PRKCA__body
cg21375813,ZFP64,body,ZFP64__body
cg21375825,LCT,promoter,LCT__promoter
cg21375869,LOC145845,body,LOC145845__body
cg21375895,ZNF717,body,ZNF717__body
cg21376004,NFE2,body,NFE2__body
cg21376109,PHACTR2,body,PHACTR2__body
cg21376136,CACNB4,promoter,CACNB4__promoter
cg21376148,MYH13,promoter,MYH13__promoter
cg21376454,ERN1,body,ERN1__body
cg21376526,SPDYE4,body,SPDYE4__body
cg21376638,SLC39A11,body,SLC39A11__body
cg21376733,NCKAP1L,promoter,NCKAP1L__promoter
cg21376831,STAT5B,promoter,STAT5B__promoter
cg21376883,ACTN2,body,ACTN2__body
cg21376908,MSI2,body,MSI2__body
cg21377071,ADAMTSL3,promoter,ADAMTSL3__promoter
cg21377158,SFMBT2,body,SFMBT2__body
cg21377354,SUSD2,body,SUSD2__body
cg21377521,TMTC1,body,TMTC1__body
cg21377598,DGCR6L,promoter,DGCR6L__promoter
cg21377712,PWP2,promoter,PWP2__promoter
cg21377793,TSPAN3,promoter,TSPAN3__promoter
cg21377860,GIMAP8,body,GIMAP8__body
cg21377936,FOXK1,body,FOXK1__body
cg21377950,CCNY,body,CCNY__body
cg21378047,H1FX,promoter,H1FX__promoter
cg21378206,IL1F5,body,IL1F5__body
cg21378238,CACNA1E,promoter,CACNA1E__promoter
cg21378393,TSR1,promoter,TSR1__promoter
cg21378403,PDZD7,body,PDZD7__body
cg21378715,PPM1H,promoter,PPM1H__promoter
cg21378920,ZBTB11,body,ZBTB11__body
cg21379004,ALS2CL,promoter,ALS2CL__promoter
cg21379008,ATP8B2,promoter,ATP8B2__promoter
cg21379309,C14orf147,promoter,C14orf147__promoter
cg21379546,KIAA1908,body,KIAA1908__body
cg21379639,DALRD3,promoter,DALRD3__promoter
cg21379733,FOXP1,body,FOXP1__body
cg21379800,NEK11,promoter,NEK11__promoter
cg21379816,SRM,body,SRM__body
cg21379885,RPL19,promoter,RPL19__promoter
cg21380084,PTPRN2,body,PTPRN2__body
cg21380181,LOC100130872,body,LOC100130872__body
cg21380183,ATP9A,body,ATP9A__body
cg21380280,OPA1,body,OPA1__body
cg21380380,GLCCI1,body,GLCCI1__body
cg21380625,PCDHA1,promoter,PCDHA1__promoter
cg21380842,KCNJ6,promoter,KCNJ6__promoter
cg21381360,BTG1,body,BTG1__body
cg21381511,SUFU,body,SUFU__body
cg21381525,NSUN6,body,NSUN6__body
cg21381845,PRKAR1B,body,PRKAR1B__body
cg21381949,LEPREL1,body,LEPREL1__body
cg21382382,NBLA00301,body,NBLA00301__body
cg21382567,TGFBR3,body,TGFBR3__body
cg21382749,CD47,body,CD47__body
cg21382800,RHBDD3,promoter,RHBDD3__promoter
cg21382878,KIF26B,body,KIF26B__body
cg21382890,NFE2L2,promoter,NFE2L2__promoter
cg21383151,TBC1D12,promoter,TBC1D12__promoter
cg21383284,HS1BP3,body,HS1BP3__body
cg21383534,CLSTN2,body,CLSTN2__body
cg21383687,PRDM16,body,PRDM16__body
cg21383720,FAM120AOS,promoter,FAM120AOS__promoter
cg21383891,SLFN5,promoter,SLFN5__promoter
cg21383971,EP400,body,EP400__body
cg21384021,ASPSCR1,body,ASPSCR1__body
cg21384203,GSC2,body,GSC2__body
cg21384371,CENPL,promoter,CENPL__promoter
cg21384402,INA,promoter,INA__promoter
cg21384462,ERC2,promoter,ERC2__promoter
cg21384588,MIR128-2,promoter,MIR128-2__promoter
cg21384645,HOXD13,promoter,HOXD13__promoter
cg21384718,EIF4G3,promoter,EIF4G3__promoter
cg21384789,SLC12A1,promoter,SLC12A1__promoter
cg21384854,TNS3,promoter,TNS3__promoter
cg21384971,COPZ2,body,COPZ2__body
cg21384977,KLHL1,promoter,KLHL1__promoter
cg21385047,S1PR1,promoter,S1PR1__promoter
cg21385052,MTMR11,body,MTMR11__body
cg21385432,EP400,body,EP400__body
cg21385480,LRIG1,body,LRIG1__body
cg21385606,C21orf56,promoter,C21orf56__promoter
cg21385746,LOC150568,body,LOC150568__body
cg21385821,CA10,promoter,CA10__promoter
cg21385822,MAN2C1,promoter,MAN2C1__promoter
cg21386140,KCNN3,body,KCNN3__body
cg21386484,GPSM3,body,GPSM3__body
cg21386545,AJAP1,body,AJAP1__body
cg21386586,GRK1,promoter,GRK1__promoter
cg21386647,SRGAP3,body,SRGAP3__body
cg21386933,WHAMM,promoter,WHAMM__promoter
cg21386952,COL6A3,body,COL6A3__body
cg21387147,KIAA0467,promoter,KIAA0467__promoter
cg21387238,SYT11,promoter,SYT11__promoter
cg21387302,RFX3,promoter,RFX3__promoter
cg21387465,EFR3B,promoter,EFR3B__promoter
cg21387604,TGFB2,promoter,TGFB2__promoter
cg21387735,RPS6KA2,body,RPS6KA2__body
cg21387752,LOC404266,promoter,LOC404266__promoter
cg21387773,IGFBP7,body,IGFBP7__body
cg21387988,SORCS2,body,SORCS2__body
cg21388029,CREG2,body,CREG2__body
cg21388169,FXN,body,FXN__body
cg21388327,HSPC157,promoter,HSPC157__promoter
cg21388335,NF2,promoter,NF2__promoter
cg21388527,EPHA6,promoter,EPHA6__promoter
cg21388639,FNIP2,body,FNIP2__body
cg21388745,KCNK5,body,KCNK5__body
cg21388793,TIMM13,promoter,TIMM13__promoter
cg21389013,PPM1G,body,PPM1G__body
cg21389025,AARS2,promoter,AARS2__promoter
cg21389309,DPP6,promoter,DPP6__promoter
cg21389394,FAM55C,promoter,FAM55C__promoter
cg21389456,DIP2C,body,DIP2C__body
cg21389569,CPLX3,promoter,CPLX3__promoter
cg21389723,MMEL1,body,MMEL1__body
cg21389776,LEPRE1,body,LEPRE1__body
cg21389884,PVRL1,promoter,PVRL1__promoter
cg21389901,TBR1,promoter,TBR1__promoter
cg21390082,SLFN12L,body,SLFN12L__body
cg21390276,SCO1,promoter,SCO1__promoter
cg21390428,MICAL3,promoter,MICAL3__promoter
cg21390574,SEMA5B,body,SEMA5B__body
cg21390575,ACSL1,promoter,ACSL1__promoter
cg21390624,EYA4,promoter,EYA4__promoter
cg21390801,MX2,promoter,MX2__promoter
cg21390852,LHPP,body,LHPP__body
cg21391023,BTBD8,promoter,BTBD8__promoter
cg21391133,COL20A1,body,COL20A1__body
cg21391741,MMEL1,promoter,MMEL1__promoter
cg21391790,C15orf41,body,C15orf41__body
cg21392204,NBEA,body,NBEA__body
cg21392281,CHD1L,body,CHD1L__body
cg21392341,TBX15,promoter,TBX15__promoter
cg21392700,MAB21L1,promoter,MAB21L1__promoter
cg21392845,NEURL4,body,NEURL4__body
cg21392868,KIAA2013,body,KIAA2013__body
cg21392898,PLEKHA5,promoter,PLEKHA5__promoter
cg21393018,SAP30,promoter,SAP30__promoter
cg21393135,VARS,body,VARS__body
cg21393421,RPL22,body,RPL22__body
cg21393619,SNORA27,promoter,SNORA27__promoter
cg21393713,AUTS2,promoter,AUTS2__promoter
cg21393986,UBXN7,promoter,UBXN7__promoter
cg21394039,ATP9B,body,ATP9B__body
cg21394081,STAG3,promoter,STAG3__promoter
cg21394197,ZNF862,promoter,ZNF862__promoter
cg21394273,ARHGEF10,body,ARHGEF10__body
cg21394442,ENY2,promoter,ENY2__promoter
cg21394787,CLSPN,promoter,CLSPN__promoter
cg21395077,C9orf27,promoter,C9orf27__promoter
cg21395110,KIAA1147,body,KIAA1147__body
cg21395120,SGOL1,promoter,SGOL1__promoter
cg21395152,ATF3,promoter,ATF3__promoter
cg21395191,PANX2,promoter,PANX2__promoter
cg21395519,SEMA5B,promoter,SEMA5B__promoter
cg21395782,NDUFA13,promoter,NDUFA13__promoter
cg21396064,MIR193B,promoter,MIR193B__promoter
cg21396127,EFCAB2,body,EFCAB2__body
cg21396211,LIX1L,promoter,LIX1L__promoter
cg21396456,FAM198A,body,FAM198A__body
cg21396487,CENPL,promoter,CENPL__promoter
cg21396517,VGLL4,body,VGLL4__body
cg21396539,SLC25A44,promoter,SLC25A44__promoter
cg21396646,SLC35F3,promoter,SLC35F3__promoter
cg21396949,KIAA1217,body,KIAA1217__body
cg21396956,MALT1,body,MALT1__body
cg21396988,TAS1R3,body,TAS1R3__body
cg21397393,RNF212,promoter,RNF212__promoter
cg21397480,JARID2,promoter,JARID2__promoter
cg21397588,ATP2B4,promoter,ATP2B4__promoter
cg21397592,LOXL2,body,LOXL2__body
cg21397848,TAS1R1,body,TAS1R1__body
cg21397993,CEP170,promoter,CEP170__promoter
cg21398111,SEC24C,body,SEC24C__body
cg21398186,PPBP,promoter,PPBP__promoter
cg21398469,CCNG2,promoter,CCNG2__promoter
cg21398794,PRRT1,body,PRRT1__body
cg21399040,FAT1,body,FAT1__body
cg21399057,HOXB3,promoter,HOXB3__promoter
cg21399079,GPR45,promoter,GPR45__promoter
cg21399198,ARMC10,promoter,ARMC10__promoter
cg21399428,SLC44A4,body,SLC44A4__body
cg21399685,WWTR1,promoter,WWTR1__promoter
cg21399795,PIGL,promoter,PIGL__promoter
cg21399807,EML6,body,EML6__body
cg21400296,NCKAP5,body,NCKAP5__body
cg21400344,LDLRAP1,promoter,LDLRAP1__promoter
cg21400442,KIF26B,body,KIF26B__body
cg21400802,PGLYRP4,body,PGLYRP4__body
cg21400851,KCTD2,body,KCTD2__body
cg21400896,ABI3,body,ABI3__body
cg21400921,FBXO9,promoter,FBXO9__promoter
cg21401200,ZNF148,body,ZNF148__body
cg21401219,MED12L,promoter,MED12L__promoter
cg21401517,PI4KB,body,PI4KB__body
cg21401647,HIST3H2A,promoter,HIST3H2A__promoter
cg21401746,SHC4,promoter,SHC4__promoter
cg21402035,GALR3,promoter,GALR3__promoter
cg21402640,CCDC37,body,CCDC37__body
cg21402832,TNFSF10,promoter,TNFSF10__promoter
cg21402921,GABRA5,promoter,GABRA5__promoter
cg21402968,KIAA0562,body,KIAA0562__body
cg21403076,ACTR3,body,ACTR3__body
cg21403089,PNPLA8,promoter,PNPLA8__promoter
cg21403330,C7orf50,promoter,C7orf50__promoter
cg21403602,MXI1,body,MXI1__body
cg21403771,PODXL,promoter,PODXL__promoter
cg21403912,CLK2,body,CLK2__body
cg21404028,TSEN15,promoter,TSEN15__promoter
cg21404063,C17orf28,body,C17orf28__body
cg21404476,SKI,body,SKI__body
cg21404980,ZC3H3,body,ZC3H3__body
cg21405109,MSH6,promoter,MSH6__promoter
cg21405195,PEG10,body,PEG10__body
cg21405705,ZFP36L1,promoter,ZFP36L1__promoter
cg21405786,ZNF783,body,ZNF783__body
cg21405929,SKI,body,SKI__body
cg21406100,ARHGAP20,body,ARHGAP20__body
cg21406113,KIF21B,body,KIF21B__body
cg21406217,INTS9,promoter,INTS9__promoter
cg21406271,RUNX3,promoter,RUNX3__promoter
cg21406402,LOC84931,body,LOC84931__body
